percent time spent exploring,episodes,mean 100 episode reward,steps
2,100,-17.6,1084
2,200,-1.4,1224
2,300,-2.1,1428
2,400,-1.2,1547
2,500,-1.0,1649
2,600,-1.0,1751
2,700,-1.0,1854
2,800,-1.0,1957
2,900,-1.0,2060
2,1000,-1.0,2162
2,1100,-1.0,2262
2,1200,-1.0,2363
2,1300,-1.0,2464
2,1400,-1.0,2568
2,1500,-1.0,2668
2,1600,-1.0,2770
2,1700,-1.0,2871
2,1800,-1.0,2972
2,1900,-1.1,3076
2,2000,-1.0,3178
2,2100,-1.1,3284
2,2200,-1.0,3385
2,2300,-1.0,3486
2,2400,-1.1,3593
2,2500,-1.0,3693
2,2600,-1.0,3794
2,2700,-1.0,3894
2,2800,-1.0,3995
2,2900,-1.0,4098
2,3000,-1.0,4200
2,3100,-1.0,4301
2,3200,-1.0,4404
2,3300,-1.0,4507
2,3400,-1.0,4607
2,3500,-1.0,4710
2,3600,-1.0,4813
2,3700,-1.0,4915
2,3800,-1.0,5016
2,3900,-1.1,5122
2,4000,-1.0,5225
2,4100,-1.0,5329
2,4200,-1.0,5430
2,4300,-1.0,5533
2,4400,-1.0,5636
2,4500,-1.0,5738
2,4600,-1.1,5843
2,4700,-1.0,5943
2,4800,-1.1,6049
2,4900,-1.0,6152
2,5000,-1.0,6255
2,5100,-1.0,6356
2,5200,-1.0,6458
2,5300,-1.0,6559
2,5400,-1.0,6663
2,5500,-1.0,6766
2,5600,-1.1,6871
2,5700,-1.0,6972
2,5800,-1.0,7075
2,5900,-1.0,7176
2,6000,-1.0,7278
2,6100,-1.0,7380
2,6200,-1.0,7482
2,6300,-1.0,7583
2,6400,-1.1,7687
2,6500,-1.0,7788
2,6600,-1.0,7889
2,6700,-1.0,7991
2,6800,-1.0,8092
2,6900,-1.0,8195
2,7000,-1.0,8296
2,7100,-1.0,8398
2,7200,-1.1,8501
2,7300,-1.0,8602
2,7400,-1.0,8705
2,7500,-1.0,8806
2,7600,-1.0,8907
2,7700,-1.0,9008
2,7800,-1.0,9109
2,7900,-1.0,9210
2,8000,-1.0,9311
2,8100,-1.0,9414
2,8200,-1.0,9515
2,8300,-1.0,9616
2,8400,-1.0,9718
2,8500,-1.0,9818
2,8600,-1.0,9918
