# {"t_start": 1549867203.317993, "env_id": "graph-search-v0"} 
r,l,t
-116,63,0.76595
-436,232,0.891693
-304,169,0.977902
-181,93,1.024209
-1562,968,2.856902
-3,3,2.86556
-3,3,2.87502
-3,3,2.883647
-3,3,2.892256
-3,3,2.901341
-3,3,2.910227
-3,3,2.918657
-5,5,2.933115
-3,3,2.942755
-3,3,2.951437
-3,3,2.959845
-3,3,2.968168
-5,4,2.98012
-3,3,2.989237
-3,3,3.002639
-3,3,3.011982
-3,3,3.022219
-3,3,3.030684
-3,3,3.039174
-3,3,3.047797
-5,4,3.059561
-3,3,3.06797
-3,3,3.078022
-3,3,3.090001
-3,3,3.098641
-3,3,3.107526
-3,3,3.116448
-3,3,3.125455
-3,3,3.133886
-3,3,3.143066
-3,3,3.151905
-3,3,3.160942
-3,3,3.169473
-3,3,3.178271
-3,3,3.187801
-3,3,3.199669
-3,3,3.208386
-3,3,3.216901
-3,3,3.225236
-3,3,3.234751
-3,3,3.244034
-3,3,3.25242
-3,3,3.260831
-3,3,3.270171
-3,3,3.278581
-5,4,3.289772
-42,23,3.357393
-96,52,3.506647
-3,3,3.515633
-3,3,3.524715
-3,3,3.534053
-3,3,3.542445
-89,57,3.717362
-4,4,3.728867
-4,4,3.740788
-4,4,3.751824
-2,2,3.757461
-2,2,3.763489
-2,2,3.769728
-6,5,3.783741
-4,4,3.795371
-6,5,3.809937
-4,4,3.821262
-4,4,3.832418
-4,4,3.844026
-6,5,3.858481
-4,4,3.871095
-4,4,3.882717
-4,4,3.894157
-67,47,4.032529
-4,4,4.043702
-4,4,4.058999
-4,4,4.071347
-4,4,4.0825
-4,4,4.094288
-4,4,4.106684
-175,119,4.465301
-2,2,4.470923
-2,2,4.476961
-2,2,4.482558
-2,2,4.488842
-2,2,4.494715
-2,2,4.500354
-2,2,4.506236
-2,2,4.5119
-2,2,4.517475
-2,2,4.523905
-2,2,4.529535
-2,2,4.535258
-4,3,4.54377
-2,2,4.549341
-2,2,4.555074
-2,2,4.56076
-2,2,4.56694
-2,2,4.573809
-2,2,4.579462
-2,2,4.585027
-2,2,4.590753
-2,2,4.596318
-2,2,4.60243
-2,2,4.609962
-2,2,4.616157
-2,2,4.628583
-2,2,4.634397
-2,2,4.64103
-2,2,4.646673
-2,2,4.65223
-2,2,4.658056
-2,2,4.663815
-2,2,4.669595
-2,2,4.67561
-2,2,4.681233
-2,2,4.686943
-2,2,4.694348
-2,2,4.700077
-2,2,4.706406
-2,2,4.712184
-2,2,4.717772
-2,2,4.723848
-2,2,4.729679
-2,2,4.73531
-4,3,4.744523
-2,2,4.750208
-2,2,4.756194
-2,2,4.761807
-2,2,4.767423
-2,2,4.773721
-2,2,4.779933
-2,2,4.785672
-2,2,4.791276
-2,2,4.796976
-2,2,4.802685
-2,2,4.808368
-2,2,4.814508
-2,2,4.820659
-2,2,4.826427
-2,2,4.832033
-2,2,4.837577
-2,2,4.843307
-2,2,4.849379
-2,2,4.855622
-2,2,4.861875
-2,2,4.870205
-2,2,4.876762
-2,2,4.882947
-2,2,4.889332
-2,2,4.894995
-2,2,4.900593
-2,2,4.906268
-2,2,4.912812
-2,2,4.919942
-2,2,4.92657
-2,2,4.932491
-2,2,4.93844
-2,2,4.944114
-2,2,4.949704
-2,2,4.956258
-2,2,4.962045
-2,2,4.967758
-2,2,4.974247
-2,2,4.98012
-2,2,4.986795
-2,2,4.993068
-2,2,4.999356
-2,2,5.005483
-2,2,5.011177
-2,2,5.016747
-2,2,5.022578
-2,2,5.028232
-2,2,5.033944
-2,2,5.039524
-2,2,5.045526
-2,2,5.051306
-2,2,5.056889
-2,2,5.063004
-2,2,5.068702
-2,2,5.075317
-2,2,5.080976
-2,2,5.086565
-2,2,5.092469
-2,2,5.09814
-2,2,5.104346
-2,2,5.110258
-2,2,5.115868
-2,2,5.121506
-2,2,5.129775
-2,2,5.135939
-2,2,5.14169
-2,2,5.14735
-2,2,5.153394
-2,2,5.159373
-2,2,5.165006
-2,2,5.171182
-2,2,5.177158
-2,2,5.183335
-2,2,5.189731
-2,2,5.195578
-2,2,5.201286
-2,2,5.210591
-3,3,5.222695
-2,2,5.230509
-2,2,5.236394
-2,2,5.245672
-6,5,5.259728
-2,2,5.26535
-2,2,5.270911
-2,2,5.276936
-2,2,5.282647
-2,2,5.288879
-2,2,5.294579
-2,2,5.300268
-2,2,5.305887
-2,2,5.311824
-2,2,5.317414
-2,2,5.323714
-2,2,5.329364
-2,2,5.334992
-2,2,5.341217
-2,2,5.346835
-4,3,5.355729
-2,2,5.361358
-2,2,5.366979
-2,2,5.372751
-2,2,5.378374
-3,3,5.386911
-2,2,5.392485
-2,2,5.398188
-2,2,5.404862
-2,2,5.410788
-2,2,5.416379
-2,2,5.422123
-2,2,5.427866
-2,2,5.433931
-2,2,5.440413
-2,2,5.446374
-2,2,5.452143
-2,2,5.457739
-2,2,5.463569
-2,2,5.469661
-2,2,5.475911
-2,2,5.482033
-2,2,5.487662
-2,2,5.493217
-2,2,5.499382
-2,2,5.505966
-2,2,5.512387
-2,2,5.517984
-2,2,5.523536
-2,2,5.52946
-2,2,5.535243
-2,2,5.541813
-2,2,5.547779
-2,2,5.553415
-2,2,5.559709
-2,2,5.56538
-2,2,5.572016
-2,2,5.578437
-2,2,5.58426
-2,2,5.590305
-2,2,5.595983
-2,2,5.601646
-2,2,5.608135
-2,2,5.614053
-2,2,5.61993
-2,2,5.625892
-4,3,5.634523
-2,2,5.640243
-2,2,5.645893
-2,2,5.651877
-2,2,5.658327
-2,2,5.663954
-2,2,5.669537
-26,15,5.718318
-2,2,5.72523
-2,2,5.731296
-2,2,5.73702
-2,2,5.742748
-2,2,5.752839
-2,2,5.759183
-2,2,5.765107
-2,2,5.770806
-2,2,5.777043
-2,2,5.782711
-2,2,5.788816
-2,2,5.794481
-2,2,5.800337
-2,2,5.806219
-2,2,5.812136
-2,2,5.817712
-2,2,5.824313
-2,2,5.830245
-2,2,5.835916
-2,2,5.84197
-2,2,5.847584
-2,2,5.854097
-2,2,5.859864
-2,2,5.865437
-2,2,5.871999
-2,2,5.877705
-2,2,5.883465
-2,2,5.890911
-2,2,5.898758
-2,2,5.907313
-2,2,5.914328
-2,2,5.919935
-2,2,5.925917
-2,2,5.931997
-2,2,5.938634
-2,2,5.944927
-2,2,5.950662
-2,2,5.956411
-2,2,5.962455
-2,2,5.968165
-2,2,5.974733
-2,2,5.980858
-2,2,5.988382
-2,2,5.99487
-2,2,6.000984
-2,2,6.006603
-2,2,6.012202
-2,2,6.017828
-2,2,6.02363
-2,2,6.029889
-2,2,6.03563
-2,2,6.042016
-2,2,6.047772
-2,2,6.053687
-2,2,6.059897
-2,2,6.065502
-2,2,6.072585
-4,3,6.085044
-2,2,6.091544
-2,2,6.097247
-2,2,6.103408
-2,2,6.109801
-2,2,6.115407
-2,2,6.125417
-2,2,6.131908
-2,2,6.138022
-2,2,6.143712
-2,2,6.149627
-61,33,6.245175
-2,2,6.250766
-2,2,6.256561
-2,2,6.262146
-2,2,6.267779
-2,2,6.273864
-2,2,6.279568
-2,2,6.285342
-2,2,6.29165
-2,2,6.2974
-2,2,6.303668
-2,2,6.309653
-2,2,6.315252
-2,2,6.320899
-2,2,6.326622
-2,2,6.33221
-2,2,6.338571
-2,2,6.34484
-2,2,6.350475
-2,2,6.357405
-2,2,6.36356
-4,3,6.372356
-2,2,6.37797
-2,2,6.383873
-2,2,6.389544
-2,2,6.395449
-2,2,6.401112
-2,2,6.407415
-2,2,6.413031
-2,2,6.418773
-2,2,6.424382
-2,2,6.43033
-2,2,6.436267
-2,2,6.442338
-2,2,6.448169
-2,2,6.453822
-4,3,6.462462
-2,2,6.468168
-2,2,6.47377
-2,2,6.479345
-2,2,6.484989
-2,2,6.491105
-2,2,6.496761
-2,2,6.502648
-2,2,6.509141
-2,2,6.514933
-2,2,6.521215
-2,2,6.526957
-2,2,6.532569
-2,2,6.539192
-2,2,6.545479
-2,2,6.551768
-2,2,6.558294
-2,2,6.564373
-4,3,6.572837
-2,2,6.578571
-2,2,6.588463
-2,2,6.595532
-2,2,6.602509
-2,2,6.61028
-2,2,6.616351
-2,2,6.625474
-2,2,6.631821
-2,2,6.637415
-2,2,6.643277
-2,2,6.648995
-2,2,6.655562
-2,2,6.661639
-2,2,6.667244
-2,2,6.673106
-2,2,6.679116
-2,2,6.685358
-2,2,6.692257
-2,2,6.698343
-2,2,6.703954
-4,3,6.712457
-2,2,6.718325
-2,2,6.724191
-2,2,6.729871
-2,2,6.735718
-2,2,6.741459
-2,2,6.747115
-2,2,6.7531
-2,2,6.759377
-2,2,6.765488
-2,2,6.772109
-2,2,6.777819
-2,2,6.783391
-2,2,6.790242
-2,2,6.796612
-2,2,6.802643
-2,2,6.808527
-2,2,6.814155
-2,2,6.81988
-2,2,6.8257
-2,2,6.835415
-2,2,6.84208
-2,2,6.848106
-2,2,6.853808
-2,2,6.859948
-2,2,6.865813
-2,2,6.872594
-2,2,6.878248
-2,2,6.884067
-2,2,6.890027
-2,2,6.895912
-2,2,6.901511
-2,2,6.907939
-4,3,6.916876
-2,2,6.923061
-2,2,6.928725
-2,2,6.934304
-2,2,6.941097
-2,2,6.948532
-2,2,6.955007
-2,2,6.960816
-2,2,6.966438
-2,2,6.972362
-2,2,6.978318
-2,2,6.984469
-2,2,6.990964
-2,2,6.997527
-2,2,7.003886
-2,2,7.009776
-2,2,7.015682
-2,2,7.022262
-2,2,7.03006
-2,2,7.036277
-2,2,7.042044
-2,2,7.048075
-2,2,7.056462
-2,2,7.062744
-2,2,7.068509
-2,2,7.074261
-2,2,7.080005
-2,2,7.085584
-2,2,7.091312
-2,2,7.097235
-2,2,7.103004
-2,2,7.1091
-2,2,7.114728
-2,2,7.121591
-2,2,7.127408
-2,2,7.133175
-2,2,7.139386
-2,2,7.145051
-2,2,7.150685
-2,2,7.156992
-2,2,7.162665
-2,2,7.16864
-2,2,7.17497
-2,2,7.180782
-2,2,7.186567
-2,2,7.1925
-2,2,7.198084
-2,2,7.203739
-2,2,7.209405
-2,2,7.215034
-2,2,7.220725
-2,2,7.227343
-2,2,7.233578
-2,2,7.241092
-2,2,7.2468
-2,2,7.25267
-2,2,7.262284
-2,2,7.267947
-2,2,7.274088
-2,2,7.279677
-2,2,7.285457
-2,2,7.291847
-2,2,7.297529
-2,2,7.303967
-2,2,7.309735
-2,2,7.315317
-2,2,7.321141
-2,2,7.326902
-2,2,7.33382
-2,2,7.342884
-2,2,7.349139
-2,2,7.354892
-2,2,7.360443
-2,2,7.366571
-2,2,7.373065
-2,2,7.378718
-2,2,7.384459
-2,2,7.390357
-2,2,7.396265
-2,2,7.401939
-2,2,7.408497
-2,2,7.414605
-2,2,7.420382
-2,2,7.426598
-2,2,7.43229
-2,2,7.438806
-2,2,7.444475
-2,2,7.450044
-2,2,7.455746
-2,2,7.461618
-2,2,7.467264
-2,2,7.472855
-2,2,7.47845
-2,2,7.484165
-2,2,7.49051
-2,2,7.496947
-2,2,7.502791
-2,2,7.508849
-2,2,7.514986
-2,2,7.521222
-2,2,7.5271
-2,2,7.532764
-2,2,7.540598
-2,2,7.546914
-2,2,7.553464
-2,2,7.559225
-2,2,7.564832
-2,2,7.570524
-2,2,7.576946
-2,2,7.583258
-2,2,7.589298
-2,2,7.595004
-2,2,7.601045
-2,2,7.606859
-2,2,7.613647
-2,2,7.61943
-2,2,7.625795
-2,2,7.631361
-2,2,7.637062
